00098;WHAT ARE THE EFFECTS OF CF ON THE DEVELOPMENT AND/OR FUNCTION OF THE   BRAIN AND CENTRAL NERVOUS SYSTEM?
00099;ARE THERE ABNORMALITIES OF TASTE IN CF PATIENTS?
00096;IS THERE AN INCREASED INCIDENCE OF DENTAL PROBLEMS (EG, CARIES OR   PERIODONTAL DISEASE) IN CF PATIENTS?
00097;IS OXYGEN TRANSPORT BY RED BLOOD CELLS ABNORMAL IN CF PATIENTS?
00094;WHAT ANIMAL MODELS ARE AVAILABLE WHICH ARE RELEVANT TO CF?
00095;WHAT ABNORMALITIES OF SKELETAL MUSCLE FUNCTION OR STRUCTURE HAVE BEEN   FOUND IN CF PATIENTS?
00092;WHAT IS THE PROGNOSIS FOR SURVIVAL OF PATIENTS WITH CF?
00090;WHAT FACTORS ARE RESPONSIBLE FOR THE APPEARANCE OF MUCOID STRAINS OF   PSEUDOMONAS AERUGINOSA IN CF PATIENTS?
00091;WHAT ARE THE UNUSUAL MANIFESTATIONS OF CF (OTHER THAN LUNG DISEASE OR   EXOCRINE PANCREATIC INSUFFICIENCY)?
00016;WHAT ARE THE GASTROINTESTINAL COMPLICATIONS OF CF AFTER THE NEONATAL   PERIOD (EXCLUDE LIVER DISEASE AND MECONIUM ILEUS)?
00017;WHAT IS THE MOST EFFECTIVE REGIMEN FOR THE USE OF PANCREATIC ENZYME   SUPPLEMENTS IN THE TREATMENT OF CF PATIENTS?
00014;WHAT NON-INVASIVE TESTS CAN BE PERFORMED FOR THE EVALUATION OF EXOCRINE   PANCREATIC FUNCTION IN PATIENTS WITH CF?
00015;WHAT ARE THE HEPATIC COMPLICATIONS OR MANIFESTATIONS OF CF?
00012;WHAT ABNORMALITIES OF AMINO ACID TRANSPORT HAVE BEEN DESCRIBED IN THE   SMALL BOWEL OF CF PATIENTS?
00013;WHAT ARE THE CLINICAL OR BIOCHEMICAL FEATURES OF PANCREATITIS IN CF   PATIENTS?
00010;WHAT IS THE ROLE OF VITAMIN E IN THE THERAPY OF PATIENTS WITH CF?
00011;WHAT IS THE DIFFERENCE BETWEEN MECONIUM ILEUS AND MECONIUM PLUG   SYNDROME?
00018;IS DIETARY SUPPLEMENTATION WITH BILE SALTS OF THERAPEUTIC BENEFIT TO CF   PATIENTS?
00019;WHAT COMPLICATIONS OF PANCREATIC ENZYME THERAPY HAVE BEEN REPORTED IN   CF PATIENTS?
00023;WHAT CONGENITAL OR HEREDITARY DISEASES OR CONDITIONS HAVE BEEN FOUND IN   ASSOCIATION WITH CF?
00022;WHAT IS THE FREQUENCY OF CF IN NON-CAUCASIAN POPULATIONS?
00021;DOES PANCREATIC INSUFFICIENCY IN CF PATIENTS AFFECT THEIR ABILITY TO   ABSORB OR METABOLIZE IRON?
00020;WHAT IS THE EFFECT OF TREATMENT OF CF PATIENTS WITH ESSENTIAL FATTY   ACID SUPPLEMENTS?
00027;WHAT IS THE CONCORDANCE OF CLINICAL OR BIOCHEMICAL MANIFESTATIONS OF CF   IN SIBLING PAIRS (BOTH OF WHOM HAVE CF)?
00026;WHAT IS THE HETEROZYGOTE ADVANTAGE IN CF?
00025;WHAT EVIDENCE IS THERE THAT THE GENETIC BASIS FOR CF INVOLVES MORE THAN   ONE GENE?
